사건번호,법원,물건번호,물건주소,용도,비고,감정평가액,감정가_원,입찰기일,유찰횟수_입찰란,링크,진행상태,최저입찰가_표시,최저입찰가_원,최저입찰가율,유찰횟수,유찰횟수_원문
2024타경89032,수원지방법원,1,"경기도 용인시 기흥구 동백죽전대로527번길 67 209동 11층1101호 (중동,어정마을롯데캐슬에코2단지)[집합건물 철근콘크리트조 99.47㎡]",지도,,"624,000,000",624000000,2026.04.21,0,moveDtlPage(7),아파트,"436,800,000(70%)",436800000,70.0,1,유찰 1회
2024타경89407,수원지방법원,1,"경기도 용인시 기흥구 연원로42번길 33 202동 5층506호 (마북동,연원마을쉐르빌아파트)[집합건물 철골철근콘크리트조
148.83㎡]",지도,"1. 매수인에게 대항할 수 있는 임차인 있음
2. 2025.08.21. 배당요구 없이 권리신고함","837,000,000",837000000,2026.04.24,0,moveDtlPage(8),아파트,"837,000,000(100%)",837000000,100.0,1,유찰 1회
2024타경89551,수원지방법원,1,"경기도 용인시 기흥구 탑실로 152 201동 5층505호 (공세동,탑실마을대주피오레2단지)[집합건물 철근콘크리트구조 148.6289㎡ 갑구 6번 2분의 1 최미라 지분 전부]",지도,지분매각임. 공유자의 우선매수신고는 1회에 한하여 행사할 수 있음(공유자가 우선매수권 신고 후 매각기일까지 매수보증금을 미납하여 실효되는 경우에는 그 공유자는 이후 매각기일부터는 우선매수권을 행사할 수 없음).,"273,000,000",273000000,2026.04.21,0,moveDtlPage(9),아파트,"191,100,000(70%)",191100000,70.0,1,유찰 1회
2024타경89971,수원지방법원,1,"경기도 용인시 처인구 중부대로1424번길 11-5 5층603호[집합건물 철근콘크리트조
78.06㎡]",지도,,"145,000,000",145000000,2026.04.29,0,moveDtlPage(0),아파트,"49,735,000(34%)",49735000,34.0,3,유찰 3회
2024타경90414,수원지방법원,1,"경기도 오산시 내삼미로 142 105동 15층1504호 (내삼미동,오산대역호반써밋)[집합건물 철근콘크리트조 99.9131㎡]",지도,,"613,000,000",613000000,2026.04.21,0,moveDtlPage(1),아파트,"429,100,000(70%)",429100000,70.0,1,유찰 1회
2024타경93673,수원지방법원,1,"경기도 용인시 기흥구 동백중앙로 312 2102동 19층1903호 (중동,백현마을동일하이빌)[집합건물 철근콘크리트구조
84.42㎡]",지도,,"580,000,000",580000000,2026.04.21,0,moveDtlPage(2),아파트,"406,000,000(70%)",406000000,70.0,1,유찰 1회
2024타경93833,수원지방법원,1,"경기도 수원시 권선구 서수원로 219 105동 1층104호 (오목천동,오목천동 푸르지오 1단지)[집합건물 철근콘크리트구조
84.9568㎡]",지도,,"367,000,000",367000000,2026.04.29,0,moveDtlPage(3),아파트,"256,900,000(70%)",256900000,70.0,1,유찰 1회
2024타경95020,수원지방법원,1,"경기도 용인시 기흥구 마북로 140 106동 11층1102호 (마북동,교동마을동양파라곤)[집합건물 철근콘크리트구조 167.52㎡]",지도,,"786,000,000",786000000,2026.04.29,0,moveDtlPage(4),아파트,"786,000,000(100%)",786000000,100.0,0,신건
2024타경95136,수원지방법원,1,"경기도 화성시 동탄순환대로12길 85 3644동 1층102호 (산척동,그린힐반도유보라아이비파크10)[집합건물 철근콘크리트구조 74.1263㎡]",지도,,"460,000,000",460000000,2026.04.29,0,moveDtlPage(5),아파트,"322,000,000(70%)",322000000,70.0,1,유찰 1회
2024타경98104,수원지방법원,1,"경기도 용인시 수지구 신봉2로 26 123동 19층1902호 (신봉동,신봉마을엘지자이1차아파트)[집합건물 철근콘크리트구조
83.278㎡]",지도,,"650,000,000",650000000,2026.04.21,0,moveDtlPage(6),아파트,"650,000,000(100%)",650000000,100.0,0,신건
